Name,Category,Address Line 1,Address Line 2,City/Town,Postcode,Phone,Email,Website
,,,,,,,,
Folly Antiques,General Antiques,208 & 210 Leith Walk,,Edinburgh,EH6 5EQ,0131 629 5482,info@follyantiques.co.uk,https://www.follyantiques.co.uk/
Franklin Browns,Auction House,65 Jane Street,,Edinburgh,EH6 5HG,0131 553 4044,,https://franklinbrowns.co.uk/
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Georgian Antiques,Furniture Shop,10 Pattison Street,Leith Links,Edinburgh,EH6 7HF,+44 (0) 131 553 7286,info@georgianantiques.net,https://www.georgianantiques.net/
Gilleasbuig Ferguson Rare Books,Book Shop,By Appointment Only,,Edinburgh,EH,,,
Haddington Rare Books,Book Shop,By Appointment Only,,Edinburgh,EH,,,
Herman Brown,Vintage Clothing,151 West Port,,Edinburgh,EH3 9DP,0131 228 2589,,
,,,,,,,,
Lyon & Turnbull,Auction House,33 Broughton Place,,Edinburgh,EH1 3RR,0131 557 8844,info@lyonandturnbull.com,https://www.lyonandturnbull.com/
Marie Curie Charity Shop South Bridge,Charity Shop,South Bridge,,Edinburgh,,+44 1,,https://www.mariecurie.org.uk/shops
Mary's Living and Giving,Charity Shop,Morningside Road,Morningside,Edinburgh,,,,https://www.savethechildren.org.uk/shop/marys-living-and-giving-shops
,,,,,,,,
McNaughtan's Bookshop & Gallery,Book Shop,4a Haddington Place,Leith Walk,Edinburgh,EH7 4AE,0131 556 5897,,https://www.mcnaughtans.co.uk/
,,,,,,,,
Oxfam Music Shop,Record Shop,64 Raeburn Place,Stockbridge,Edinburgh,EH4 1HJ,0131 315 2145,,https://www.oxfam.org.uk/shops/music/oxfam-music-shop-stockbridge
Oxfam Stockbridge,Charity Shop,64-66 Raeburn Place,Stockbridge,Edinburgh,EH4 1HJ,0131 315 2145,,https://www.oxfam.org.uk/shops/find-a-shop/oxfam-shop-stockbridge
Ramsay Cornish,Auction House,15-17 Jane Street,,Edinburgh,EH6 5HE,0131 553 7000,info@ramsaycornish.com,https://ramsaycornish.com/
Record Shak Record Shop,Record Shop,52 St Mary's Street,,Edinburgh,EH1 1SX,0131 556 0478,,
Royal Mile Curios,Antique Shop,363 High Street,Royal Mile,Edinburgh,EH1 1PW,0131 226 4050,,
Salvation Army Donation Centre,Charity Shop,,,Edinburgh,,,,https://www.salvationarmy.org.uk/shops
,,,,,,,,
Shelter Charity Shop,Charity Shop,,,Edinburgh,,+44 131,,https://scotland.shelter.org.uk/support_us/shops
Shelter Scotland,Charity Shop,104-106 Nicolson Street,,Edinburgh,EH8 9EJ,0131 557 0900,,https://scotland.shelter.org.uk/support_us/shops
St Columba's Hospice,Charity Shop,Stockbridge,,Edinburgh,,,,https://stcolumbashospice.org.uk/support-us/our-shops/
The Court Curio Shop,Antique Shop,519 Lawnmarket,The Royal Mile,Edinburgh,EH1 2PE,0131 225 3972,thecourtcurioshop@outlook.com,https://www.courtcurio.com/
The Edinburgh Antiques Centre,Antique Shop,13A Bangor Road,,Edinburgh,EH6 5JY,0131 629 2390,,
,,,,,,,,
The Gently Mad Book Shop,Book Shop,16 Royal Park Terrace,,Edinburgh,EH8 8JA,0131 629 0591,,
The Old Town Bookshop,Book Shop,8 Victoria Street,Old Town,Edinburgh,EH1 2HG,0131 225 9237,,
The Treasure Trove,Charity Shop,,,Edinburgh,,,,
Thomson Roddick,Auctioneers,Wester Whitehouse,Newcraighall Road,Edinburgh,EH15 3HS,0131 657 2180,edinburgh@thomsonroddick.com,https://www.thomsonroddick.com/edinburgh/
Those Were The Days Vintage,Vintage Clothing,26 St Stephen Street,Stockbridge,Edinburgh,EH3 5AL,0131 225 4543,,https://www.thosewerethedaysvintage.com/
Till's Bookshop,Book Shop,1 Hope Park Crescent,Newington,Edinburgh,EH8 9NA,0131 667 9836,,
Torn Vintage,Vintage Clothing,11 West Port,,Edinburgh,EH1 2JA,,,
Torn Vintage,Vintage Clothing,11 West Port,,Edinburgh,EH1 2JA,,,
Umbrella Vinyl,Record Shop,8 Dock Place,Leith,Edinburgh,EH6 6LU,,,https://www.umbrellavinyl.com/
Unknown Pleasures,Record Shop,110 Canongate,Royal Mile,Edinburgh,EH8 8DD,0131 556 2079,,
Vinyl Villains,Record Shop,5 Elm Row,,Edinburgh,EH7 4AA,0131 558 1170,,https://www.vinylvillains.co.uk/
Vox Box,Record Shop,21 St Stephen Street,Stockbridge,Edinburgh,EH3 5AN,0131 629 6775,,https://voxboxmusic.co.uk/
Zero Waste Hub,Charity Shop,,,Edinburgh,,+44 131,,
